City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Thaton,MM,16.9206,97.3714,78.51,80,6,1.72,clear sky
130,Itaituba,BR,-4.2761,-55.9836,78.8,89,20,5.75,few clouds
131,Kruisfontein,ZA,-34.0033,24.7314,70.25,25,0,5.64,clear sky
132,Port Alfred,ZA,-33.5906,26.891,75.06,39,0,5.55,clear sky
133,Hasaki,JP,35.7333,140.8333,51.8,40,20,5.75,few clouds
134,Nkhotakota,MW,-12.9274,34.2961,68.72,81,50,9.31,scattered clouds
135,Urusha,RU,54.05,122.9,20.97,63,6,12.88,clear sky
136,Codrington,AU,-38.2667,141.9667,51.31,95,42,10.0,scattered clouds
137,Savonlinna,FI,61.8699,28.88,37.4,65,0,1.14,clear sky
138,Bastia,FR,42.6667,9.3333,55.4,54,75,10.36,broken clouds
139,Pevek,RU,69.7008,170.3133,19.29,84,100,18.07,overcast clouds
140,Batatais,BR,-20.8911,-47.585,71.6,83,75,5.75,broken clouds
141,Kirakira,SB,-10.4544,161.9205,80.33,84,70,5.12,broken clouds
142,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,75,9.22,broken clouds
143,Baruun-Urt,MN,46.6806,113.2792,37.2,28,1,12.53,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,62.6,63,40,5.75,scattered clouds
145,Tautira,PF,-17.7333,-149.15,84.2,70,20,4.61,few clouds
146,Liwale,TZ,-9.7667,37.9333,64.26,92,9,4.99,clear sky
147,Cap Malheureux,MU,-19.9842,57.6142,75.0,86,100,5.01,light rain
148,Acapulco,MX,16.8634,-99.8901,84.2,65,20,9.22,few clouds
149,Arman,RU,59.7,150.1667,29.17,91,99,4.68,overcast clouds
150,Atuona,PF,-9.8,-139.0333,80.71,75,9,17.72,clear sky
151,Abnub,EG,27.2696,31.1511,91.4,25,0,6.91,clear sky
152,Okhotsk,RU,59.3833,143.3,28.09,97,100,7.05,light snow
153,Upernavik,GL,72.7868,-56.1549,11.53,81,100,5.26,overcast clouds
154,Jamestown,US,42.097,-79.2353,54.0,54,90,11.5,overcast clouds
155,Kachiry,KZ,53.0675,76.1036,26.02,64,47,19.91,scattered clouds
156,Paka,MY,4.6374,103.4368,75.2,100,73,1.14,broken clouds
157,Sussex,US,41.1834,-74.6663,59.0,41,90,4.61,overcast clouds
158,Klaksvik,FO,62.2266,-6.589,42.8,81,90,3.44,overcast clouds
159,Komsomolskiy,UZ,40.4272,71.7189,53.6,66,8,4.61,clear sky
160,Berlevag,NO,70.8578,29.0864,41.0,60,0,3.44,clear sky
161,Poya,NC,-21.35,165.15,74.12,89,97,5.48,overcast clouds
162,Paraiso,CR,9.8383,-83.8656,80.6,65,40,11.5,drizzle
163,Erenhot,CN,43.6475,111.9767,49.8,18,6,3.49,clear sky
164,Klyuchi,RU,52.2667,79.1667,37.31,77,93,20.56,light rain
165,Northam,GB,51.0333,-4.2167,48.99,76,72,1.01,broken clouds
166,Bredasdorp,ZA,-34.5322,20.0403,66.2,68,8,8.05,clear sky
167,Bartica,GY,6.4,-58.6167,87.8,55,40,18.41,scattered clouds
168,Husavik,IS,66.0449,-17.3389,41.0,56,20,20.71,few clouds
169,Ostrovnoy,RU,68.0531,39.5131,29.8,82,98,18.5,overcast clouds
170,Ridgecrest,US,35.6225,-117.6709,78.01,4,1,13.8,clear sky
171,Fortuna,US,40.5982,-124.1573,55.0,87,20,17.27,few clouds
172,Sayyan,YE,15.1718,44.3244,60.96,34,3,11.88,clear sky
173,Touros,BR,-5.1989,-35.4608,80.6,83,40,8.05,scattered clouds
174,Illertissen,DE,48.2234,10.1035,42.01,81,94,3.44,overcast clouds
175,Waingapu,ID,-9.6567,120.2641,74.88,84,83,6.55,broken clouds
176,Mar Del Plata,AR,-38.0023,-57.5575,77.0,68,75,9.22,broken clouds
177,Kardymovo,RU,54.8902,32.4311,42.49,87,76,4.9,broken clouds
178,Khatanga,RU,71.9667,102.5,-0.6,96,99,8.39,overcast clouds
179,Ilulissat,GL,69.2167,-51.1,12.2,44,67,4.61,broken clouds
180,Altar,MX,30.7,-111.8167,81.0,16,0,3.0,clear sky
181,Pavlovka,RU,52.6897,47.1405,49.42,54,100,13.2,overcast clouds
182,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,20,9.22,few clouds
183,Coquimbo,CL,-29.9533,-71.3436,59.0,82,75,12.66,broken clouds
184,Namibe,AO,-15.1961,12.1522,80.33,74,8,5.17,clear sky
