City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Sambava,MG,75.92,light rain,-14.2667,50.1667,Melrose
312,Faanui,PF,82.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Banda Aceh,ID,80.26,light rain,5.5577,95.3222,Sulthan Hotel International
316,Laguna,US,86.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
323,Koungou,YT,80.6,light rain,-12.7336,45.2042,Villa Netibor
326,Dingle,PH,76.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
330,Karratha,AU,78.69,clear sky,-20.7377,116.8463,ibis Styles Karratha
331,General Roca,AR,77.0,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
332,Harper,LR,80.74,overcast clouds,4.375,-7.7169,Screensaver
333,Nanyamba,TZ,75.2,broken clouds,-10.6833,39.8333,Busati Lodge Nanyamba
336,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
338,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
339,Caravelas,BR,78.53,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
340,Balabac,PH,81.7,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
341,Lorengau,PG,80.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
343,Samana,DO,89.6,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
346,Biltine,TD,88.0,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
349,Brazzaville,CG,78.8,light rain,-4.2658,15.2832,Hotel Murex
350,Linares,CL,78.64,overcast clouds,-35.85,-71.6,Hotel Real
352,Boa Vista,BR,89.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
353,Calabar,NG,76.1,overcast clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
356,Bandarbeyla,SO,82.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
357,Galeana,MX,79.0,scattered clouds,24.8333,-100.0667,Mirador
362,Buchanan,LR,82.4,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
